dimension,term,building_count,building_ratio,occurrence_count
建筑空间布局,天井回廊,2,0.004878,2
建筑空间布局,座北朝南,2,0.004878,2
建筑空间布局,引桥结构,2,0.004878,2
建筑空间布局,方形布局,2,0.004878,2
建筑空间布局,桥亭,2,0.004878,2
建筑空间布局,池水为中心,2,0.004878,2
建筑空间布局,火巷,2,0.004878,2
建筑空间布局,照壁,2,0.004878,2
建筑空间布局,矩形平面,2,0.004878,2
建筑空间布局,纵深布局,2,0.004878,2
建筑空间布局,聚落布局,2,0.004878,2
建筑空间布局,角楼,2,0.004878,2
建筑空间布局,轴线对称布局,2,0.004878,2
建筑空间布局,轴线布局,2,0.004878,2
建筑空间布局,轴线序列,2,0.004878,2
建筑空间布局,门楼,2,0.004878,2
建筑空间布局,阶梯式布局,2,0.004878,2
建筑结构体系,一字形布局,2,0.004878,2
建筑结构体系,三孔联拱,2,0.004878,2
建筑结构体系,三路布局,2,0.004878,2
建筑结构体系,三路并列,2,0.004878,2
建筑结构体系,三重檐歇山顶,2,0.004878,2
建筑结构体系,中轴线布局,2,0.004878,2
建筑结构体系,九孔石桥,2,0.004878,2
建筑结构体系,二进院落,2,0.004878,2
建筑结构体系,五孔梁式石桥,2,0.004878,2
建筑结构体系,五架梁,2,0.004878,2
建筑结构体系,仿木结构,2,0.004878,2
建筑结构体系,依山就势,2,0.004878,2
建筑结构体系,六墩七孔,2,0.004878,2
建筑结构体系,内城外城结构,2,0.004878,2
建筑结构体系,减柱造,2,0.004878,2
建筑结构体系,前宅后院,2,0.004878,2
建筑结构体系,卷棚式,2,0.004878,2
建筑结构体系,台基结构,2,0.004878,2
建筑结构体系,四墩五孔,2,0.004878,2
建筑结构体系,四进院落,2,0.004878,2
建筑结构体系,城堡式,2,0.004878,2
建筑结构体系,城墙结构,2,0.004878,2
建筑结构体系,城门,2,0.004878,2
建筑结构体系,天井院落,2,0.004878,2
建筑结构体系,夯土墙,2,0.004878,2
建筑结构体系,对称布局,2,0.004878,2
建筑结构体系,引桥,2,0.004878,2
建筑结构体系,悬山式顶,2,0.004878,2
建筑结构体系,悬臂梁结构,2,0.004878,2
建筑结构体系,攒尖顶,2,0.004878,2
建筑结构体系,敌楼,2,0.004878,2
建筑结构体系,斗拱结构,2,0.004878,2
建筑结构体系,方形土楼,2,0.004878,2
建筑结构体系,月城,2,0.004878,2
建筑结构体系,木梁桥,2,0.004878,2
建筑结构体系,梭形桥墩,2,0.004878,2
建筑结构体系,浮桥,2,0.004878,2
建筑结构体系,涵洞,2,0.004878,2
建筑结构体系,炮台,2,0.004878,2
建筑结构体系,石拱结构,2,0.004878,2
建筑结构体系,砖石木结构,2,0.004878,2
建筑结构体系,碉楼结构,2,0.004878,2
建筑结构体系,纵列式法券,2,0.004878,2
建筑结构体系,联拱石拱桥,2,0.004878,2
建筑结构体系,走马楼,2,0.004878,2
建筑结构体系,进深三间,2,0.004878,2
建筑结构体系,连拱石桥,2,0.004878,2
建筑结构体系,重檐十字歇山顶,2,0.004878,2
建筑结构体系,重檐结构,2,0.004878,2
建筑结构体系,院落式,2,0.004878,2
建筑结构体系,面阔七间,2,0.004878,2
建筑结构体系,飞檐,2,0.004878,2
建筑结构体系,马头墙,2,0.004878,2
建筑结构体系,马面,2,0.004878,2
建筑结构体系,驷马拖车,2,0.004878,2
营造技艺,中西合璧营造法,2,0.004878,2
营造技艺,中轴对称施工,2,0.004878,2
营造技艺,中轴对称营造,2,0.004878,2
营造技艺,仿天一阁,2,0.004878,2
